Sample notes : Sample description,Sample notes : Sample note 1,Specimen notes : Specimen note 1
"","",""

Results Table 1
,Start date,Modulus (Automatic Young's),Diameter,Geometry,Height,Compressive strain (Displacement) gauge length,Rate 1
,,(MPa),(mm),,(mm),(mm),(mm/min)
1,"11/6/2019","33.14","18.82","Circular","44.42","44.42","3.00"

Time,Displacement,Force
(s),(mm),(kN)
"24.6400","1.2287","0.2121"
"24.7800","1.2357","0.2128"
"24.9200","1.2428","0.2134"
"25.0600","1.2497","0.2139"
"25.2000","1.2565","0.2141"
"25.3400","1.2637","0.2148"
"25.4800","1.2708","0.2156"
"25.6200","1.2777","0.2161"
"25.7600","1.2848","0.2166"
"25.9000","1.2917","0.2168"
"26.0400","1.2987","0.2176"
"26.1800","1.3057","0.2179"
"26.3200","1.3127","0.2184"
"26.4600","1.3198","0.2191"
"26.6000","1.3267","0.2194"
"26.7400","1.3338","0.2200"
"26.8800","1.3408","0.2200"
"27.0200","1.3476","0.2204"
"27.1600","1.3547","0.2210"
"27.3000","1.3617","0.2216"
"27.4400","1.3688","0.2219"
"27.5800","1.3758","0.2223"
"27.7200","1.3826","0.2224"
"27.8600","1.3897","0.2230"
"28.0000","1.3967","0.2232"
"28.1400","1.4038","0.2239"
"28.2800","1.4108","0.2242"
"28.4200","1.4176","0.2244"
"28.5600","1.4247","0.2246"
"28.7000","1.4317","0.2252"
"28.8400","1.4388","0.2255"
"28.9800","1.4459","0.2256"
"29.1200","1.4526","0.2259"
"29.2600","1.4598","0.2264"
"29.4000","1.4668","0.2265"
"29.5400","1.4737","0.2269"
"29.6800","1.4807","0.2272"
"29.8200","1.4876","0.2274"
"29.9600","1.4948","0.2279"
"30.1000","1.5018","0.2280"
"30.2400","1.5086","0.2282"
"30.3800","1.5157","0.2284"
"30.5200","1.5227","0.2286"
"30.6600","1.5298","0.2289"
"30.8000","1.5368","0.2293"
"30.9400","1.5436","0.2292"
"31.0800","1.5506","0.2295"
"31.2200","1.5577","0.2298"
"31.3600","1.5648","0.2300"
"31.5000","1.5718","0.2301"
"31.6400","1.5786","0.2302"
"31.7800","1.5857","0.2304"
"31.9200","1.5928","0.2307"
"32.0600","1.5997","0.2309"
"32.2000","1.6068","0.2309"
"32.3400","1.6136","0.2309"
"32.4800","1.6207","0.2312"
"32.6200","1.6279","0.2315"
"32.7600","1.6347","0.2314"
"32.9000","1.6417","0.2317"
"33.0400","1.6486","0.2316"
"33.1800","1.6558","0.2317"
"33.3200","1.6628","0.2323"
"33.4600","1.6696","0.2321"
"33.6000","1.6767","0.2323"
"33.7400","1.6837","0.2323"
"33.8800","1.6908","0.2326"
"34.0200","1.6978","0.2326"
"34.1600","1.7045","0.2326"
"34.3000","1.7117","0.2328"
"34.4400","1.7187","0.2328"
"34.5800","1.7257","0.2329"
"34.7200","1.7328","0.2332"
"34.8600","1.7396","0.2329"
"35.0000","1.7468","0.2333"
"35.1400","1.7538","0.2333"
"35.2800","1.7607","0.2332"
"35.4200","1.7678","0.2332"
"35.5600","1.7747","0.2334"
"35.7000","1.7817","0.2334"
"35.8400","1.7888","0.2335"
"35.9800","1.7956","0.2334"
"36.1200","1.8027","0.2336"
"36.2600","1.8097","0.2336"
"36.4000","1.8168","0.2337"
"36.5400","1.8238","0.2338"
"36.6800","1.8305","0.2336"
"36.8200","1.8377","0.2337"
"36.9600","1.8447","0.2338"
"37.1000","1.8518","0.2339"
"37.2400","1.8588","0.2337"
"37.3800","1.8656","0.2338"
"37.5200","1.8727","0.2338"
"37.6600","1.8798","0.2341"
"37.8000","1.8868","0.2339"
"37.9400","1.8938","0.2342"
"38.0800","1.9006","0.2340"
"38.2200","1.9077","0.2339"
"38.3600","1.9148","0.2341"
"38.5000","1.9217","0.2340"
"38.6400","1.9288","0.2340"
"38.7800","1.9357","0.2342"
"38.9200","1.9428","0.2340"
"39.0600","1.9498","0.2342"
"39.2000","1.9566","0.2338"
"39.3400","1.9637","0.2341"
"39.4800","1.9707","0.2342"
"39.6200","1.9778","0.2342"
"39.7600","1.9848","0.2342"
"39.9000","1.9916","0.2339"
"40.0400","1.9987","0.2342"
"40.1800","2.0057","0.2342"
"40.3200","2.0127","0.2341"
"40.4600","2.0198","0.2340"
"40.6000","2.0266","0.2341"
"40.7400","2.0337","0.2340"
"40.8800","2.0408","0.2339"
"41.0200","2.0477","0.2340"
"41.1600","2.0548","0.2341"
"41.3000","2.0617","0.2341"
"41.4400","2.0688","0.2343"
"41.5800","2.0758","0.2340"
"41.7200","2.0826","0.2340"
"41.8600","2.0897","0.2342"
"42.0000","2.0967","0.2342"
"42.1400","2.1038","0.2342"
"42.2800","2.1109","0.2344"
"42.4200","2.1176","0.2340"
"42.5600","2.1247","0.2340"
"42.7000","2.1317","0.2341"
"42.8400","2.1388","0.2342"
"42.9800","2.1458","0.2343"
"43.1200","2.1526","0.2340"
"43.2600","2.1597","0.2343"
"43.4000","2.1667","0.2342"
"43.5400","2.1737","0.2338"
"43.6800","2.1808","0.2342"
"43.8200","2.1876","0.2340"
"43.9600","2.1948","0.2342"
"44.1000","2.2017","0.2342"
"44.2400","2.2086","0.2341"
"44.3800","2.2158","0.2340"
"44.5200","2.2227","0.2340"
"44.6600","2.2298","0.2339"
"44.8000","2.2368","0.2341"
"44.9400","2.2436","0.2338"
"45.0800","2.2507","0.2340"
"45.2200","2.2577","0.2339"
"45.3600","2.2648","0.2342"
"45.5000","2.2718","0.2341"
"45.6400","2.2786","0.2340"
"45.7800","2.2857","0.2342"
"45.9200","2.2928","0.2342"
"46.0600","2.2997","0.2341"
"46.2000","2.3068","0.2341"
