Results Table 1
,Specimen number (included),Maximum Force
,,(kN)
"1","1","0.01"

Results Table 2



Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0479"
"0.0500","0.0007","-0.0213"
"0.1000","0.0060","0.1435"
"0.1500","0.0125","0.3539"
"0.2000","0.0231","0.6284"
"0.2500","0.0323","0.8394"
"0.3000","0.0404","1.0411"
"0.3500","0.0488","1.2135"
"0.4000","0.0571","1.3565"
"0.4500","0.0655","1.5392"
"0.5000","0.0739","1.6850"
"0.5500","0.0822","1.8477"
"0.6000","0.0906","1.9754"
"0.6500","0.0989","2.1216"
"0.7000","0.1072","2.2646"
"0.7500","0.1155","2.4126"
"0.8000","0.1238","2.5337"
"0.8500","0.1322","2.6759"
"0.9000","0.1405","2.8054"
"0.9500","0.1489","2.9317"
"1.0000","0.1572","3.0707"
"1.0500","0.1655","3.2177"
"1.1000","0.1737","3.3281"
"1.1500","0.1822","3.4315"
"1.2000","0.1905","3.5483"
"1.2500","0.1988","3.6649"
"1.3000","0.2072","3.7928"
"1.3500","0.2155","3.9013"
"1.4000","0.2239","4.0084"
"1.4500","0.2321","4.1154"
"1.5000","0.2405","4.2174"
"1.5500","0.2488","4.3242"
"1.6000","0.2572","4.4440"
"1.6500","0.2656","4.5342"
"1.7000","0.2739","4.6394"
"1.7500","0.2823","4.7220"
"1.8000","0.2905","4.8511"
"1.8500","0.2988","4.9359"
"1.9000","0.3072","5.0076"
"1.9500","0.3155","5.0846"
"2.0000","0.3239","5.1943"
"2.0500","0.3323","5.2547"
"2.1000","0.3406","5.3361"
"2.1500","0.3488","5.4305"
"2.2000","0.3571","5.5168"
"2.2500","0.3655","5.5991"
"2.3000","0.3739","5.6799"
"2.3500","0.3822","5.7392"
"2.4000","0.3906","5.7922"
"2.4500","0.3989","5.8735"
"2.5000","0.4072","5.9505"
"2.5500","0.4155","6.0225"
"2.6000","0.4238","6.0998"
"2.6500","0.4322","6.1728"
"2.7000","0.4405","6.2183"
"2.7500","0.4489","6.2774"
"2.8000","0.4572","6.3302"
"2.8500","0.4656","6.3916"
"2.9000","0.4738","6.4275"
"2.9500","0.4821","6.4966"
"3.0000","0.4905","6.5580"
"3.0500","0.4989","6.6144"
"3.1000","0.5072","6.6688"
"3.1500","0.5156","6.7061"
"3.2000","0.5239","6.7512"
"3.2500","0.5321","6.7846"
"3.3000","0.5405","6.8481"
"3.3500","0.5489","6.9047"
"3.4000","0.5572","6.9508"
"3.4500","0.5656","6.9884"
"3.5000","0.5739","7.0131"
"3.5500","0.5822","7.0765"
"3.6000","0.5905","7.0996"
"3.6500","0.5988","7.1170"
"3.7000","0.6072","7.1793"
"3.7500","0.6156","7.2092"
"3.8000","0.6239","7.2534"
"3.8500","0.6322","7.2607"
"3.9000","0.6406","7.3071"
"3.9500","0.6488","7.3413"
"4.0000","0.6571","7.3712"
"4.0500","0.6655","7.3867"
"4.1000","0.6739","7.4281"
"4.1500","0.6822","7.4786"
