Sample notes : Sample description,Sample notes : Sample note 1,Specimen notes : Specimen note 1
"","",""

Results Table 1
,Start date,Modulus (Automatic Young's),Diameter,Geometry,Height,Compressive strain (Displacement) gauge length,Rate 1
,,(MPa),(mm),,(mm),(mm),(mm/min)
"2","4/6/2020","24.94","20.00","Circular","50.00","50.00","3.00"


Time,Displacement,Force
(s),(mm),(kN)
"24.6400","1.2279","0.1714"
"24.7800","1.2349","0.1720"
"24.9200","1.2419","0.1727"
"25.0600","1.2488","0.1733"
"25.2000","1.2560","0.1740"
"25.3400","1.2629","0.1746"
"25.4800","1.2698","0.1752"
"25.6200","1.2769","0.1758"
"25.7600","1.2838","0.1764"
"25.9000","1.2910","0.1771"
"26.0400","1.2980","0.1777"
"26.1800","1.3047","0.1781"
"26.3200","1.3119","0.1788"
"26.4600","1.3189","0.1794"
"26.6000","1.3260","0.1800"
"26.7400","1.3329","0.1806"
"26.8800","1.3397","0.1811"
"27.0200","1.3468","0.1817"
"27.1600","1.3539","0.1823"
"27.3000","1.3609","0.1829"
"27.4400","1.3679","0.1835"
"27.5800","1.3748","0.1839"
"27.7200","1.3818","0.1845"
"27.8600","1.3889","0.1851"
"28.0000","1.3958","0.1856"
"28.1400","1.4030","0.1862"
"28.2800","1.4098","0.1866"
"28.4200","1.4169","0.1872"
"28.5600","1.4239","0.1877"
"28.7000","1.4308","0.1881"
"28.8400","1.4380","0.1887"
"28.9800","1.4448","0.1891"
"29.1200","1.4519","0.1897"
"29.2600","1.4589","0.1902"
"29.4000","1.4657","0.1905"
"29.5400","1.4730","0.1911"
"29.6800","1.4798","0.1916"
"29.8200","1.4869","0.1920"
"29.9600","1.4940","0.1926"
"30.1000","1.5008","0.1929"
"30.2400","1.5079","0.1934"
"30.3800","1.5148","0.1938"
"30.5200","1.5218","0.1943"
"30.6600","1.5290","0.1948"
"30.8000","1.5358","0.1952"
"30.9400","1.5429","0.1956"
"31.0800","1.5499","0.1960"
"31.2200","1.5568","0.1964"
"31.3600","1.5639","0.1969"
"31.5000","1.5709","0.1973"
"31.6400","1.5778","0.1977"
"31.7800","1.5849","0.1981"
"31.9200","1.5918","0.1984"
"32.0600","1.5990","0.1989"
"32.2000","1.6059","0.1993"
"32.3400","1.6129","0.1996"
"32.4800","1.6199","0.2000"
"32.6200","1.6267","0.2003"
"32.7600","1.6339","0.2007"
"32.9000","1.6409","0.2011"
"33.0400","1.6478","0.2014"
"33.1800","1.6550","0.2019"
"33.3200","1.6618","0.2021"
"33.4600","1.6689","0.2025"
"33.6000","1.6758","0.2028"
"33.7400","1.6828","0.2031"
"33.8800","1.6900","0.2035"
"34.0200","1.6967","0.2037"
"34.1600","1.7039","0.2041"
"34.3000","1.7109","0.2044"
"34.4400","1.7178","0.2047"
"34.5800","1.7249","0.2050"
"34.7200","1.7319","0.2053"
"34.8600","1.7390","0.2057"
"35.0000","1.7459","0.2059"
