Sample notes : Sample description,Sample notes : Sample note 1,Specimen notes : Specimen note 1
"Bisug/al 80% PDMS 20%","me",""

Results Table 1
,Start date,Modulus (Automatic Young's),Diameter,Geometry,Height,Compressive strain (Displacement) gauge length,Rate 1
,,(MPa),(mm),,(mm),(mm),(mm/min)
1,"6/27/2019","50.48","18.81","Circular","44.72","44.72","3.00"

Time,Displacement,Force
(s),(mm),(kN)
"24.5000","1.2216","0.1263"
"24.6400","1.2283","0.1278"
"24.7800","1.2354","0.1300"
"24.9200","1.2425","0.1317"
"25.0600","1.2496","0.1336"
"25.2000","1.2566","0.1355"
"25.3400","1.2633","0.1374"
"25.4800","1.2704","0.1394"
"25.6200","1.2775","0.1413"
"25.7600","1.2845","0.1432"
"25.9000","1.2916","0.1452"
"26.0400","1.2984","0.1472"
"26.1800","1.3055","0.1491"
"26.3200","1.3126","0.1510"
"26.4600","1.3194","0.1529"
"26.6000","1.3265","0.1551"
"26.7400","1.3334","0.1571"
"26.8800","1.3406","0.1592"
"27.0200","1.3475","0.1613"
"27.1600","1.3543","0.1629"
"27.3000","1.3615","0.1650"
"27.4400","1.3685","0.1673"
"27.5800","1.3756","0.1693"
"27.7200","1.3825","0.1712"
"27.8600","1.3894","0.1730"
"28.0000","1.3964","0.1751"
"28.1400","1.4035","0.1774"
"28.2800","1.4105","0.1793"
"28.4200","1.4175","0.1816"
"28.5600","1.4244","0.1836"
"28.7000","1.4316","0.1857"
"28.8400","1.4386","0.1876"
"28.9800","1.4454","0.1896"
"29.1200","1.4525","0.1917"
"29.2600","1.4594","0.1937"
"29.4000","1.4666","0.1959"
"29.5400","1.4736","0.1981"
"29.6800","1.4804","0.2000"
"29.8200","1.4875","0.2024"
"29.9600","1.4944","0.2043"
"30.1000","1.5016","0.2066"
"30.2400","1.5086","0.2086"
"30.3800","1.5153","0.2104"
"30.5200","1.5224","0.2126"
"30.6600","1.5294","0.2147"
"30.8000","1.5366","0.2170"
"30.9400","1.5436","0.2192"
"31.0800","1.5504","0.2211"
"31.2200","1.5575","0.2235"
"31.3600","1.5645","0.2255"
"31.5000","1.5714","0.2275"
"31.6400","1.5785","0.2297"
"31.7800","1.5854","0.2318"
"31.9200","1.5926","0.2342"
"32.0600","1.5996","0.2362"
"32.2000","1.6064","0.2382"
"32.3400","1.6135","0.2406"
"32.4800","1.6205","0.2427"
"32.6200","1.6276","0.2450"
"32.7600","1.6345","0.2471"
"32.9000","1.6413","0.2491"
"33.0400","1.6484","0.2516"
"33.1800","1.6555","0.2538"
"33.3200","1.6626","0.2559"
"33.4600","1.6696","0.2582"
"33.6000","1.6764","0.2601"
"33.7400","1.6834","0.2624"
"33.8800","1.6905","0.2650"
"34.0200","1.6975","0.2670"
"34.1600","1.7046","0.2694"
"34.3000","1.7114","0.2714"
"34.4400","1.7185","0.2738"
"34.5800","1.7255","0.2761"
"34.7200","1.7325","0.2783"
"34.8600","1.7395","0.2805"
"35.0000","1.7464","0.2829"
"35.1400","1.7535","0.2848"
"35.2800","1.7605","0.2874"
"35.4200","1.7674","0.2893"
"35.5600","1.7745","0.2917"
"35.7000","1.7814","0.2938"
"35.8400","1.7886","0.2962"
"35.9800","1.7956","0.2984"
"36.1200","1.8023","0.3005"
"36.2600","1.8095","0.3031"
"36.4000","1.8164","0.3052"
"36.5400","1.8235","0.3075"
"36.6800","1.8306","0.3100"
"36.8200","1.8374","0.3119"
"36.9600","1.8445","0.3144"
"37.1000","1.8515","0.3167"
"37.2400","1.8585","0.3188"
"37.3800","1.8655","0.3212"
"37.5200","1.8724","0.3233"
"37.6600","1.8795","0.3258"
"37.8000","1.8866","0.3281"
"37.9400","1.8934","0.3301"
"38.0800","1.9005","0.3324"
"38.2200","1.9075","0.3349"
"38.3600","1.9146","0.3371"
"38.5000","1.9216","0.3394"
"38.6400","1.9283","0.3415"
"38.7800","1.9354","0.3437"
"38.9200","1.9425","0.3461"
"39.0600","1.9496","0.3484"
"39.2000","1.9566","0.3509"
"39.3400","1.9633","0.3528"
"39.4800","1.9705","0.3552"
"39.6200","1.9775","0.3574"
"39.7600","1.9845","0.3596"
"39.9000","1.9916","0.3621"
"40.0400","1.9984","0.3639"
"40.1800","2.0055","0.3666"
"40.3200","2.0125","0.3687"
"40.4600","2.0194","0.3707"
"40.6000","2.0266","0.3733"
"40.7400","2.0335","0.3755"
"40.8800","2.0406","0.3778"
"41.0200","2.0475","0.3798"
"41.1600","2.0543","0.3817"
"41.3000","2.0615","0.3842"
"41.4400","2.0685","0.3865"
"41.5800","2.0756","0.3890"
"41.7200","2.0826","0.3910"
"41.8600","2.0894","0.3929"
"42.0000","2.0964","0.3954"
"42.1400","2.1035","0.3975"
"42.2800","2.1105","0.3999"
"42.4200","2.1175","0.4022"
"42.5600","2.1244","0.4042"
"42.7000","2.1315","0.4064"
"42.8400","2.1385","0.4087"
"42.9800","2.1455","0.4106"
"43.1200","2.1525","0.4132"
"43.2600","2.1594","0.4152"
"43.4000","2.1665","0.4176"
"43.5400","2.1735","0.4198"
"43.6800","2.1803","0.4212"
"43.8200","2.1875","0.4240"
"43.9600","2.1945","0.4261"
"44.1000","2.2016","0.4285"
"44.2400","2.2086","0.4305"
"44.3800","2.2154","0.4323"
"44.5200","2.2225","0.4346"
"44.6600","2.2295","0.4368"
"44.8000","2.2365","0.4389"
"44.9400","2.2436","0.4410"
"45.0800","2.2503","0.4429"
"45.2200","2.2575","0.4452"
"45.3600","2.2645","0.4475"
"45.5000","2.2715","0.4495"
"45.6400","2.2785","0.4519"
"45.7800","2.2854","0.4535"
"45.9200","2.2926","0.4560"
"46.0600","2.2995","0.4579"
"46.2000","2.3064","0.4597"
