Results Table 1
,Specimen label,Maximum Force,Maximum Stress,Comment
,,(lbf),(ksi),
"1","","3.59","0.02",""
"2","S2","-0.19","0.00",""
"3","","4.58","0.02",""
"4","S3","4.37","0.02",""
"5","S4","3.61","0.02",""
"6","S5","3.73","0.02",""
"7","SHEAR2","6.78","0.03",""
"8","SHEAR2_2","6.30","0.02",""
"9","SHEAR21","6.75","0.02",""
"10","SHEAR31","0.01","0.00",""
"11","SHEAR311","8.38","0.02",""
"12","","9.00","0.02",""
"13","SHEAR41","10.14","0.02",""
"14","SHEAR42","12.59","0.05",""
"15","SHEAR422","9.64","0.02",""
"Mean","","5.95","0.02",""
"Standard deviation","","3.64","0.01",""
"Minimum","","-0.19","0.00",""
"Maximum","","12.59","0.05",""

Results Table 2


