Sample notes : Sample description,Sample notes : Sample note 1,Specimen notes : Specimen note 1
"80% Bi-modal Sugar, 20% PDMS","Joseph Cunningham",""

Results Table 1
,Start date,Modulus (Automatic Young's),Diameter,Geometry,Height,Compressive strain (Displacement) gauge length,Rate 1
,,(MPa),(mm),,(mm),(mm),(mm/min)
1,"5/27/2019","44.81","18.86","Circular","45.23","45.23","3.00"

Time,Displacement,Force
(s),(mm),(kN)
"24.5000","1.2208","0.1461"
"24.6400","1.2279","0.1479"
"24.7800","1.2350","0.1496"
"24.9200","1.2418","0.1512"
"25.0600","1.2490","0.1530"
"25.2000","1.2559","0.1547"
"25.3400","1.2630","0.1564"
"25.4800","1.2700","0.1583"
"25.6200","1.2768","0.1600"
"25.7600","1.2840","0.1618"
"25.9000","1.2909","0.1636"
"26.0400","1.2980","0.1655"
"26.1800","1.3050","0.1674"
"26.3200","1.3118","0.1692"
"26.4600","1.3189","0.1708"
"26.6000","1.3260","0.1729"
"26.7400","1.3330","0.1747"
"26.8800","1.3399","0.1766"
"27.0200","1.3469","0.1785"
"27.1600","1.3540","0.1805"
"27.3000","1.3610","0.1823"
"27.4400","1.3679","0.1840"
"27.5800","1.3750","0.1860"
"27.7200","1.3819","0.1881"
"27.8600","1.3890","0.1901"
"28.0000","1.3960","0.1917"
"28.1400","1.4028","0.1933"
"28.2800","1.4099","0.1954"
"28.4200","1.4169","0.1975"
"28.5600","1.4240","0.1996"
"28.7000","1.4310","0.2015"
"28.8400","1.4378","0.2033"
"28.9800","1.4449","0.2054"
"29.1200","1.4519","0.2073"
"29.2600","1.4589","0.2094"
"29.4000","1.4660","0.2112"
"29.5400","1.4728","0.2131"
"29.6800","1.4800","0.2154"
"29.8200","1.4869","0.2169"
"29.9600","1.4939","0.2190"
"30.1000","1.5010","0.2210"
"30.2400","1.5079","0.2228"
"30.3800","1.5151","0.2252"
"30.5200","1.5219","0.2269"
"30.6600","1.5288","0.2286"
"30.8000","1.5359","0.2306"
"30.9400","1.5429","0.2326"
"31.0800","1.5501","0.2349"
"31.2200","1.5570","0.2367"
"31.3600","1.5638","0.2384"
"31.5000","1.5709","0.2406"
"31.6400","1.5779","0.2425"
"31.7800","1.5850","0.2446"
"31.9200","1.5920","0.2467"
"32.0600","1.5988","0.2484"
"32.2000","1.6059","0.2504"
"32.3400","1.6130","0.2524"
"32.4800","1.6199","0.2542"
"32.6200","1.6270","0.2562"
"32.7600","1.6339","0.2580"
"32.9000","1.6410","0.2603"
"33.0400","1.6480","0.2621"
"33.1800","1.6548","0.2638"
"33.3200","1.6620","0.2658"
"33.4600","1.6689","0.2677"
"33.6000","1.6760","0.2699"
"33.7400","1.6830","0.2719"
"33.8800","1.6899","0.2735"
"34.0200","1.6969","0.2754"
"34.1600","1.7039","0.2776"
"34.3000","1.7110","0.2796"
"34.4400","1.7180","0.2814"
"34.5800","1.7248","0.2831"
"34.7200","1.7320","0.2853"
"34.8600","1.7389","0.2873"
"35.0000","1.7460","0.2891"
"35.1400","1.7530","0.2910"
"35.2800","1.7598","0.2928"
"35.4200","1.7670","0.2951"
"35.5600","1.7739","0.2967"
"35.7000","1.7808","0.2985"
"35.8400","1.7879","0.3004"
"35.9800","1.7949","0.3022"
"36.1200","1.8020","0.3043"
"36.2600","1.8090","0.3061"
"36.4000","1.8158","0.3078"
"36.5400","1.8229","0.3098"
"36.6800","1.8299","0.3119"
"36.8200","1.8370","0.3137"
"36.9600","1.8440","0.3157"
