Sample notes : Sample description,Sample notes : Sample note 1,Specimen notes : Specimen note 1
"","",""

Results Table 1
,Start date,Modulus (Automatic Young's),Diameter,Geometry,Height,Compressive strain (Displacement) gauge length,Rate 1
,,(MPa),(mm),,(mm),(mm),(mm/min)
1,"4/2/2019","57.06","17.45","Circular","42.64","42.64","3.00"

Time,Displacement,Force
(s),(mm),(kN)
"24.6400","1.2287","0.0503"
"24.7800","1.2357","0.0505"
"24.9200","1.2427","0.0509"
"25.0600","1.2495","0.0515"
"25.2000","1.2568","0.0518"
"25.3400","1.2638","0.0524"
"25.4800","1.2706","0.0527"
"25.6200","1.2776","0.0533"
"25.7600","1.2846","0.0537"
"25.9000","1.2918","0.0541"
"26.0400","1.2988","0.0549"
"26.1800","1.3055","0.0552"
"26.3200","1.3126","0.0557"
"26.4600","1.3197","0.0560"
"26.6000","1.3268","0.0566"
"26.7400","1.3338","0.0569"
"26.8800","1.3405","0.0573"
"27.0200","1.3477","0.0580"
"27.1600","1.3547","0.0585"
"27.3000","1.3617","0.0590"
"27.4400","1.3687","0.0593"
"27.5800","1.3756","0.0600"
"27.7200","1.3828","0.0603"
"27.8600","1.3898","0.0606"
"28.0000","1.3967","0.0612"
"28.1400","1.4037","0.0618"
"28.2800","1.4106","0.0622"
"28.4200","1.4178","0.0628"
"28.5600","1.4247","0.0634"
"28.7000","1.4315","0.0637"
"28.8400","1.4387","0.0642"
"28.9800","1.4456","0.0647"
"29.1200","1.4528","0.0652"
"29.2600","1.4598","0.0656"
"29.4000","1.4665","0.0661"
"29.5400","1.4737","0.0667"
"29.6800","1.4807","0.0673"
"29.8200","1.4877","0.0675"
"29.9600","1.4947","0.0681"
"30.1000","1.5016","0.0686"
"30.2400","1.5088","0.0693"
"30.3800","1.5158","0.0694"
"30.5200","1.5227","0.0699"
"30.6600","1.5298","0.0705"
"30.8000","1.5367","0.0712"
"30.9400","1.5438","0.0715"
"31.0800","1.5507","0.0718"
"31.2200","1.5576","0.0724"
"31.3600","1.5647","0.0729"
"31.5000","1.5717","0.0735"
"31.6400","1.5788","0.0739"
"31.7800","1.5858","0.0747"
"31.9200","1.5926","0.0750"
"32.0600","1.5997","0.0754"
"32.2000","1.6066","0.0759"
"32.3400","1.6137","0.0764"
"32.4800","1.6208","0.0769"
"32.6200","1.6275","0.0774"
"32.7600","1.6347","0.0780"
"32.9000","1.6417","0.0785"
"33.0400","1.6487","0.0791"
"33.1800","1.6558","0.0796"
"33.3200","1.6626","0.0797"
"33.4600","1.6697","0.0805"
"33.6000","1.6767","0.0811"
"33.7400","1.6837","0.0813"
"33.8800","1.6908","0.0820"
"34.0200","1.6976","0.0826"
"34.1600","1.7048","0.0830"
"34.3000","1.7117","0.0835"
"34.4400","1.7185","0.0840"
"34.5800","1.7257","0.0843"
"34.7200","1.7326","0.0849"
"34.8600","1.7398","0.0856"
"35.0000","1.7468","0.0861"
"35.1400","1.7535","0.0867"
"35.2800","1.7607","0.0872"
"35.4200","1.7677","0.0874"
"35.5600","1.7748","0.0881"
"35.7000","1.7817","0.0886"
"35.8400","1.7886","0.0892"
"35.9800","1.7957","0.0898"
"36.1200","1.8028","0.0901"
"36.2600","1.8097","0.0907"
"36.4000","1.8167","0.0911"
"36.5400","1.8236","0.0918"
"36.6800","1.8307","0.0921"
"36.8200","1.8378","0.0928"
"36.9600","1.8446","0.0931"
"37.1000","1.8517","0.0939"
"37.2400","1.8586","0.0943"
"37.3800","1.8658","0.0949"
"37.5200","1.8728","0.0954"
"37.6600","1.8796","0.0960"
"37.8000","1.8866","0.0963"
"37.9400","1.8937","0.0970"
"38.0800","1.9008","0.0976"
"38.2200","1.9078","0.0980"
"38.3600","1.9145","0.0985"
"38.5000","1.9217","0.0991"
"38.6400","1.9286","0.0995"
"38.7800","1.9357","0.1001"
"38.9200","1.9428","0.1007"
"39.0600","1.9496","0.1012"
"39.2000","1.9568","0.1019"
"39.3400","1.9637","0.1024"
"39.4800","1.9706","0.1029"
"39.6200","1.9777","0.1031"
"39.7600","1.9847","0.1038"
"39.9000","1.9918","0.1045"
"40.0400","1.9988","0.1050"
"40.1800","2.0056","0.1056"
