Results Table 1
,Specimen number (included),Maximum Force
,,(kN)
"1","1","0.01"

Results Table 2



Time,Displacement,Force
(s),(mm),(N)
"40.5500","6.7485","8.6282"
"40.6000","6.7568","8.6199"
"40.6500","6.7652","8.6264"
"40.7000","6.7736","8.5859"
"40.7500","6.7819","8.5961"
"40.8000","6.7902","8.5852"
"40.8500","6.7986","8.5847"
"40.9000","6.8069","8.5767"
"40.9500","6.8151","8.5670"
"41.0000","6.8235","8.5396"
"41.0500","6.8319","8.5436"
"41.1000","6.8402","8.5473"
"41.1500","6.8486","8.5444"
"41.2000","6.8569","8.5388"
"41.2500","6.8652","8.5346"
"41.3000","6.8734","8.5458"
"41.3500","6.8818","8.5412"
"41.4000","6.8902","8.5043"
"41.4500","6.8985","8.4808"
"41.5000","6.9069","8.4419"
"41.5500","6.9152","8.4200"
"41.6000","6.9235","8.3761"
"41.6500","6.9318","8.3304"
"41.7000","6.9402","8.3111"
"41.7500","6.9485","8.2653"
"41.8000","6.9569","8.2156"
"41.8500","6.9652","8.2158"
"41.9000","6.9736","8.1957"
"41.9500","6.9819","8.2129"
"42.0000","6.9902","8.1818"
"42.0500","6.9985","8.1874"
"42.1000","7.0069","8.1846"
"42.1500","7.0152","8.1609"
"42.2000","7.0235","8.1774"
"42.2500","7.0319","8.1915"
"42.3000","7.0403","8.1766"
"42.3500","7.0485","8.1867"
"42.4000","7.0568","8.1617"
"42.4500","7.0652","8.1805"
"42.5000","7.0735","8.1807"
"42.5500","7.0819","8.1585"
"42.6000","7.0903","8.1784"
"42.6500","7.0985","8.1314"
"42.7000","7.1069","8.1677"
"42.7500","7.1151","8.1610"
"42.8000","7.1235","8.1486"
"42.8500","7.1319","8.1174"
"42.9000","7.1402","8.1140"
"42.9500","7.1486","8.1139"
"43.0000","7.1569","8.0960"
"43.0500","7.1652","8.0898"
"43.1000","7.1735","8.0927"
"43.1500","7.1818","8.0605"
"43.2000","7.1902","8.0887"
"43.2500","7.1986","8.0473"
"43.3000","7.2069","8.0346"
"43.3500","7.2152","8.0094"
"43.4000","7.2236","7.9909"
"43.4500","7.2318","7.9605"
"43.5000","7.2401","7.9451"
"43.5500","7.2485","7.9147"
"43.6000","7.2569","7.9354"
"43.6500","7.2652","7.9126"
"43.7000","7.2736","7.8967"
"43.7500","7.2819","7.9088"
"43.8000","7.2902","7.8854"
"43.8500","7.2984","7.8801"
"43.9000","7.3068","7.8587"
"43.9500","7.3152","7.8292"
"44.0000","7.3236","7.8319"
"44.0500","7.3319","7.8131"
"44.1000","7.3402","7.8302"
"44.1500","7.3485","7.7814"
"44.2000","7.3568","7.7328"
"44.2500","7.3652","7.7350"
"44.3000","7.3735","7.6950"
"44.3500","7.3819","7.6949"
"44.4000","7.3903","7.6945"
"44.4500","7.3986","7.6811"
"44.5000","7.4068","7.6566"
"44.5500","7.4152","7.6467"
"44.6000","7.4235","7.6419"
"44.6500","7.4319","7.5812"
"44.7000","7.4402","7.5978"
"44.7500","7.4485","7.5792"
"44.8000","7.4569","7.4989"
"44.8500","7.4652","7.5211"
"44.9000","7.4735","7.5269"
"44.9500","7.4818","7.5287"
"45.0000","7.4902","7.4850"
"45.0500","7.4985","7.4889"
"45.1000","7.5068","7.4869"
"45.1500","7.5152","7.4762"
"45.2000","7.5236","7.4619"
"45.2500","7.5318","7.4312"
"45.3000","7.5401","7.4045"
"45.3500","7.5485","7.3801"
"45.4000","7.5569","7.3940"
"45.4500","7.5652","7.3716"
"45.5000","7.5736","7.3806"
"45.5500","7.5819","7.3425"
"45.6000","7.5901","7.3224"
"45.6500","7.5984","7.3096"
"45.7000","7.6069","7.3301"
"45.7500","7.6152","7.3093"
"45.8000","7.6235","7.3222"
"45.8500","7.6319","7.3005"
"45.9000","7.6403","7.2842"
"45.9500","7.6485","7.2919"
"46.0000","7.6568","7.2882"
"46.0500","7.6652","7.2759"
"46.1000","7.6735","7.2566"
"46.1500","7.6818","7.2728"
"46.2000","7.6902","7.2652"
"46.2500","7.6986","7.2589"
"46.3000","7.7069","7.2554"
"46.3500","7.7152","7.2535"
"46.4000","7.7234","7.2325"
"46.4500","7.7318","7.2061"
"46.5000","7.7402","7.1730"
"46.5500","7.7486","7.1888"
"46.6000","7.7569","7.1744"
"46.6500","7.7652","7.1558"
"46.7000","7.7735","7.1534"
"46.7500","7.7818","7.1048"
"46.8000","7.7902","7.0970"
"46.8500","7.7986","7.0806"
"46.9000","7.8069","7.0663"
"46.9500","7.8152","7.0840"
"47.0000","7.8235","7.0175"
"47.0500","7.8318","6.9915"
"47.1000","7.8401","6.9845"
"47.1500","7.8485","6.9752"
"47.2000","7.8569","6.9674"
"47.2500","7.8652","6.9597"
"47.3000","7.8736","6.9317"
"47.3500","7.8819","6.9069"
"47.4000","7.8901","6.8773"
"47.4500","7.8984","6.8269"
"47.5000","7.9068","6.8237"
"47.5500","7.9152","6.8104"
"47.6000","7.9235","6.7999"
"47.6500","7.9319","6.8024"
"47.7000","7.9402","6.7763"
"47.7500","7.9485","6.7553"
"47.8000","7.9568","6.7616"
"47.8500","7.9652","6.7590"
"47.9000","7.9736","6.7360"
"47.9500","7.9819","6.7322"
"48.0000","7.9902","6.7340"
"48.0500","7.9986","6.6985"
"48.1000","8.0069","6.7084"
"48.1500","8.0151","6.6896"
"48.2000","8.0235","6.6543"
"48.2500","8.0319","6.6267"
"48.3000","8.0402","6.5750"
"48.3500","8.0486","6.5415"
"48.4000","8.0569","6.4952"
"48.4500","8.0652","6.4530"
"48.5000","8.0735","6.4172"
"48.5500","8.0818","6.3983"
"48.6000","8.0902","6.3946"
"48.6500","8.0985","6.3581"
"48.7000","8.1069","6.3614"
"48.7500","8.1152","6.3359"
"48.8000","8.1236","6.3226"
"48.8500","8.1318","6.3240"
"48.9000","8.1401","6.3058"
"48.9500","8.1485","6.2712"
"49.0000","8.1569","6.2104"
"49.0500","8.1652","6.1701"
"49.1000","8.1735","6.1016"
"49.1500","8.1819","6.0852"
"49.2000","8.1902","6.0889"
"49.2500","8.1985","6.0664"
"49.3000","8.2068","6.0537"
"49.3500","8.2152","6.0463"
"49.4000","8.2235","6.0047"
"49.4500","8.2319","5.9962"
"49.5000","8.2402","5.9663"
"49.5500","8.2486","5.9565"
"49.6000","8.2568","5.9450"
"49.6500","8.2651","5.9322"
"49.7000","8.2735","5.9315"
"49.7500","8.2819","5.8829"
"49.8000","8.2902","5.9057"
"49.8500","8.2986","5.8845"
"49.9000","8.3069","5.8429"
"49.9500","8.3151","5.7818"
"50.0000","8.3235","5.7800"
"50.0500","8.3318","5.7576"
"50.1000","8.3402","5.7203"
"50.1500","8.3486","5.6790"
"50.2000","8.3569","5.6691"
"50.2500","8.3652","5.6231"
"50.3000","8.3735","5.5989"
"50.3500","8.3818","5.6052"
"50.4000","8.3902","5.5632"
"50.4500","8.3985","5.5834"
"50.5000","8.4069","5.5740"
"50.5500","8.4153","5.5375"
"50.6000","8.4236","5.5634"
"50.6500","8.4319","5.5522"
"50.7000","8.4401","5.5318"
"50.7500","8.4485","5.5102"
"50.8000","8.4569","5.4919"
"50.8500","8.4652","5.5186"
"50.9000","8.4736","5.5027"
"50.9500","8.4819","5.4852"
"51.0000","8.4902","5.4882"
"51.0500","8.4985","5.4992"
"51.1000","8.5068","5.4899"
"51.1500","8.5152","5.4881"
"51.2000","8.5236","5.4854"
"51.2500","8.5319","5.4734"
"51.3000","8.5403","5.4854"
"51.3500","8.5486","5.4618"
"51.4000","8.5568","5.4586"
"51.4500","8.5651","5.4276"
"51.5000","8.5735","5.4494"
"51.5500","8.5819","5.4600"
"51.6000","8.5902","5.4495"
"51.6500","8.5986","5.4322"
"51.7000","8.6069","5.4222"
"51.7500","8.6151","5.4233"
"51.8000","8.6234","5.4193"
"51.8500","8.6319","5.3992"
"51.9000","8.6402","5.4113"
"51.9500","8.6485","5.3972"
"52.0000","8.6569","5.3623"
"52.0500","8.6652","5.3283"
"52.1000","8.6735","5.2858"
"52.1500","8.6818","5.3146"
"52.2000","8.6902","5.2960"
"52.2500","8.6985","5.2828"
"52.3000","8.7068","5.2739"
"52.3500","8.7152","5.2783"
"52.4000","8.7236","5.2751"
"52.4500","8.7319","5.2586"
"52.5000","8.7401","5.2375"
"52.5500","8.7484","5.2248"
"52.6000","8.7569","5.1772"
"52.6500","8.7653","5.1730"
"52.7000","8.7736","5.1359"
"52.7500","8.7819","5.1195"
"52.8000","8.7903","5.1192"
"52.8500","8.7985","5.1250"
"52.9000","8.8068","5.1200"
"52.9500","8.8152","5.1151"
"53.0000","8.8236","5.1027"
"53.0500","8.8319","5.1062"
"53.1000","8.8402","5.1096"
"53.1500","8.8485","5.1007"
"53.2000","8.8568","5.0901"
"53.2500","8.8651","5.0807"
"53.3000","8.8735","5.0674"
"53.3500","8.8819","5.0760"
"53.4000","8.8902","5.0623"
"53.4500","8.8986","5.0816"
"53.5000","8.9069","5.0554"
"53.5500","8.9152","5.0616"
"53.6000","8.9234","5.0533"
"53.6500","8.9318","5.0030"
"53.7000","8.9402","4.9688"
"53.7500","8.9485","4.9785"
"53.8000","8.9569","4.9828"
"53.8500","8.9652","4.9448"
"53.9000","8.9736","4.9057"
"53.9500","8.9818","4.8928"
"54.0000","8.9902","4.8933"
"54.0500","8.9985","4.8904"
"54.1000","9.0069","4.8650"
"54.1500","9.0153","4.8491"
"54.2000","9.0236","4.8301"
"54.2500","9.0319","4.8174"
"54.3000","9.0402","4.8146"
"54.3500","9.0485","4.8132"
"54.4000","9.0568","4.8241"
"54.4500","9.0652","4.7844"
"54.5000","9.0735","4.7614"
"54.5500","9.0819","4.7869"
"54.6000","9.0902","4.7620"
"54.6500","9.0985","4.7784"
"54.7000","9.1068","4.7570"
"54.7500","9.1151","4.7428"
"54.8000","9.1235","4.7261"
"54.8500","9.1318","4.6943"
"54.9000","9.1402","4.6746"
"54.9500","9.1486","4.6964"
"55.0000","9.1569","4.6245"
"55.0500","9.1651","4.6213"
"55.1000","9.1735","4.6098"
"55.1500","9.1819","4.5615"
"55.2000","9.1902","4.4889"
"55.2500","9.1986","4.4376"
"55.3000","9.2069","4.4507"
"55.3500","9.2152","4.4282"
"55.4000","9.2235","4.4090"
"55.4500","9.2318","4.3790"
"55.5000","9.2402","4.3639"
"55.5500","9.2485","4.3346"
"55.6000","9.2570","4.3309"
"55.6500","9.2653","4.3164"
"55.7000","9.2736","4.3065"
"55.7500","9.2818","4.3043"
"55.8000","9.2901","4.2850"
"55.8500","9.2985","4.2844"
"55.9000","9.3069","4.2631"
"55.9500","9.3152","4.2598"
"56.0000","9.3236","4.2489"
"56.0500","9.3319","4.2403"
"56.1000","9.3402","4.2194"
"56.1500","9.3485","4.1628"
"56.2000","9.3568","4.1461"
"56.2500","9.3652","4.1486"
"56.3000","9.3735","4.0540"
"56.3500","9.3819","4.0477"
"56.4000","9.3903","4.0638"
"56.4500","9.3985","4.0131"
"56.5000","9.4068","4.0072"
"56.5500","9.4152","3.9789"
"56.6000","9.4235","3.9392"
"56.6500","9.4318","3.9492"
"56.7000","9.4402","3.9369"
"56.7500","9.4485","3.9443"
"56.8000","9.4569","3.9254"
"56.8500","9.4651","3.9215"
"56.9000","9.4734","3.9063"
"56.9500","9.4819","3.8816"
"57.0000","9.4902","3.8876"
"57.0500","9.4986","3.8398"
"57.1000","9.5069","3.8155"
"57.1500","9.5152","3.8076"
"57.2000","9.5235","3.8078"
"57.2500","9.5318","3.8096"
"57.3000","9.5402","3.7766"
"57.3500","9.5485","3.7638"
"57.4000","9.5569","3.7669"
"57.4500","9.5652","3.7421"
"57.5000","9.5735","3.7139"
"57.5500","9.5818","3.7100"
"57.6000","9.5901","3.6877"
"57.6500","9.5985","3.6710"
"57.7000","9.6069","3.6483"
"57.7500","9.6152","3.6400"
"57.8000","9.6236","3.6098"
"57.8500","9.6319","3.5904"
"57.9000","9.6402","3.5905"
"57.9500","9.6484","3.5984"
"58.0000","9.6568","3.5942"
"58.0500","9.6652","3.5632"
"58.1000","9.6736","3.5645"
"58.1500","9.6819","3.5463"
"58.2000","9.6902","3.5311"
"58.2500","9.6986","3.5350"
"58.3000","9.7068","3.5326"
"58.3500","9.7152","3.5321"
"58.4000","9.7235","3.5237"
"58.4500","9.7319","3.5247"
"58.5000","9.7403","3.5124"
"58.5500","9.7486","3.4868"
"58.6000","9.7569","3.5339"
"58.6500","9.7651","3.4977"
"58.7000","9.7735","3.5015"
"58.7500","9.7818","3.5144"
"58.8000","9.7902","3.4971"
"58.8500","9.7986","3.4881"
"58.9000","9.8069","3.4893"
"58.9500","9.8152","3.4998"
"59.0000","9.8235","3.4906"
"59.0500","9.8318","3.4800"
"59.1000","9.8402","3.4950"
"59.1500","9.8485","3.4909"
"59.2000","9.8569","3.4928"
"59.2500","9.8652","3.5045"
"59.3000","9.8736","3.4958"
"59.3500","9.8819","3.4767"
"59.4000","9.8901","3.4783"
"59.4500","9.8985","3.4889"
"59.5000","9.9069","3.4828"
"59.5500","9.9152","3.4818"
"59.6000","9.9236","3.4747"
"59.6500","9.9319","3.5035"
"59.7000","9.9402","3.4971"
"59.7500","9.9485","3.4686"
"59.8000","9.9568","3.4899"
"59.8500","9.9652","3.4749"
"59.9000","9.9736","3.4687"
"59.9500","9.9820","3.4722"
"60.0000","9.9902","3.4769"
"60.0500","9.9985","3.4567"
"60.1000","10.0068","3.4735"
"60.1500","10.0152","3.4796"
"60.2000","10.0236","3.4754"
"60.2500","10.0319","3.4602"
"60.3000","10.0402","3.4613"
"60.3500","10.0486","3.4435"
"60.4000","10.0569","3.4700"
"60.4500","10.0651","3.4654"
"60.5000","10.0735","3.4505"
"60.5500","10.0818","3.4624"
"60.6000","10.0902","3.4630"
"60.6500","10.0986","3.4548"
"60.7000","10.1069","3.4626"
"60.7500","10.1152","3.4331"
"60.8000","10.1235","3.4323"
"60.8500","10.1318","3.4275"
"60.9000","10.1402","3.4389"
"60.9500","10.1485","3.4178"
"61.0000","10.1569","3.4451"
"61.0500","10.1653","3.4004"
"61.1000","10.1736","3.4063"
"61.1500","10.1819","3.4037"
"61.2000","10.1901","3.3985"
"61.2500","10.1985","3.3791"
"61.3000","10.2069","3.3708"
"61.3500","10.2153","3.3927"
"61.4000","10.2236","3.3483"
"61.4500","10.2319","3.3352"
"61.5000","10.2402","3.3433"
"61.5500","10.2485","3.3045"
"61.6000","10.2568","3.3213"
"61.6500","10.2652","3.3093"
"61.7000","10.2735","3.2910"
"61.7500","10.2819","3.2947"
"61.8000","10.2902","3.2818"
"61.8500","10.2985","3.2763"
"61.9000","10.3068","3.2864"
"61.9500","10.3152","3.2488"
"62.0000","10.3235","3.2291"
"62.0500","10.3319","3.2403"
"62.1000","10.3402","3.2598"
"62.1500","10.3486","3.2323"
"62.2000","10.3569","3.2356"
"62.2500","10.3651","3.2316"
"62.3000","10.3734","3.2393"
"62.3500","10.3818","3.2270"
"62.4000","10.3902","3.2068"
"62.4500","10.3986","3.2015"
"62.5000","10.4069","3.2050"
"62.5500","10.4153","3.1707"
"62.6000","10.4235","3.1848"
"62.6500","10.4318","3.1887"
"62.7000","10.4402","3.1720"
"62.7500","10.4486","3.1408"
"62.8000","10.4569","3.1414"
"62.8500","10.4653","3.1659"
"62.9000","10.4736","3.1519"
"62.9500","10.4819","3.1549"
"63.0000","10.4901","3.1582"
"63.0500","10.4985","3.1473"
"63.1000","10.5069","3.1335"
"63.1500","10.5152","3.1508"
"63.2000","10.5236","3.1515"
"63.2500","10.5319","3.1452"
"63.3000","10.5402","3.1488"
"63.3500","10.5485","3.1414"
"63.4000","10.5568","3.1176"
"63.4500","10.5652","3.1144"
"63.5000","10.5735","3.1429"
"63.5500","10.5819","3.1257"
"63.6000","10.5902","3.0989"
"63.6500","10.5986","3.1099"
"63.7000","10.6068","3.1154"
"63.7500","10.6152","3.0894"
"63.8000","10.6235","3.0874"
"63.8500","10.6319","3.0886"
"63.9000","10.6402","3.0660"
"63.9500","10.6486","3.0576"
"64.0000","10.6569","3.0547"
"64.0500","10.6652","3.0497"
"64.1000","10.6734","3.0183"
"64.1500","10.6818","3.0142"
"64.2000","10.6902","2.9878"
"64.2500","10.6986","3.0014"
"64.3000","10.7069","2.9732"
"64.3500","10.7152","2.9734"
"64.4000","10.7234","2.9688"
"64.4500","10.7318","2.9474"
"64.5000","10.7402","2.9433"
"64.5500","10.7485","2.9239"
"64.5520","10.7489","2.9215"

