Results Table 1
,Specimen number (included),Maximum Force
,,(kN)
"1","1","0.01"

Results Table 2



Time,Displacement,Force
(s),(mm),(N)
"27.1500","4.5152","11.4086"
"27.2000","4.5235","11.3902"
"27.2500","4.5318","11.4178"
"27.3000","4.5402","11.3990"
"27.3500","4.5485","11.3914"
"27.4000","4.5569","11.3866"
"27.4500","4.5653","11.3861"
"27.5000","4.5736","11.3918"
"27.5500","4.5818","11.3616"
"27.6000","4.5901","11.3496"
"27.6500","4.5985","11.3464"
"27.7000","4.6068","11.3552"
"27.7500","4.6152","11.3641"
"27.8000","4.6236","11.3674"
"27.8500","4.6319","11.3625"
"27.9000","4.6401","11.3731"
"27.9500","4.6485","11.3561"
"28.0000","4.6569","11.3532"
"28.0500","4.6652","11.3435"
"28.1000","4.6736","11.3846"
"28.1500","4.6819","11.3899"
"28.2000","4.6902","11.3830"
"28.2500","4.6985","11.3541"
"28.3000","4.7068","11.3588"
"28.3500","4.7152","11.3541"
"28.4000","4.7236","11.3621"
"28.4500","4.7319","11.3456"
"28.5000","4.7402","11.3601"
"28.5500","4.7486","11.3570"
"28.6000","4.7569","11.3247"
"28.6500","4.7651","11.3166"
"28.7000","4.7735","11.3463"
"28.7500","4.7819","11.3157"
"28.8000","4.7902","11.3443"
"28.8500","4.7986","11.3332"
"28.9000","4.8069","11.2999"
"28.9500","4.8152","11.3242"
"29.0000","4.8235","11.3119"
"29.0500","4.8318","11.2881"
"29.1000","4.8402","11.2606"
"29.1500","4.8485","11.2689"
"29.2000","4.8569","11.2325"
"29.2500","4.8652","11.1800"
"29.3000","4.8736","11.1457"
"29.3500","4.8818","11.1399"
"29.4000","4.8901","11.0922"
"29.4500","4.8985","11.0650"
"29.5000","4.9068","11.0201"
"29.5500","4.9152","10.9940"
"29.6000","4.9236","11.0197"
"29.6500","4.9319","10.9801"
"29.7000","4.9401","10.9852"
"29.7500","4.9485","10.9393"
"29.8000","4.9569","10.9403"
"29.8500","4.9652","10.9243"
"29.9000","4.9735","10.9038"
"29.9500","4.9819","10.9027"
"30.0000","4.9902","10.8864"
"30.0500","4.9985","10.8722"
"30.1000","5.0068","10.8619"
"30.1500","5.0152","10.8551"
"30.2000","5.0236","10.8244"
"30.2500","5.0318","10.7813"
"30.3000","5.0402","10.7846"
"30.3500","5.0486","10.7648"
"30.4000","5.0569","10.7842"
"30.4500","5.0652","10.7639"
"30.5000","5.0735","10.7260"
"30.5500","5.0819","10.7279"
"30.6000","5.0902","10.7292"
"30.6500","5.0986","10.7075"
"30.7000","5.1069","10.7018"
"30.7500","5.1153","10.7023"
"30.8000","5.1235","10.7023"
"30.8500","5.1318","10.6975"
"30.9000","5.1402","10.6952"
"30.9500","5.1486","10.6842"
"31.0000","5.1569","10.6632"
"31.0500","5.1653","10.6617"
"31.1000","5.1736","10.6649"
"31.1500","5.1818","10.6442"
"31.2000","5.1901","10.6326"
"31.2500","5.1985","10.6273"
"31.3000","5.2069","10.6252"
"31.3500","5.2152","10.6320"
"31.4000","5.2236","10.6024"
"31.4500","5.2319","10.5904"
"31.5000","5.2401","10.5717"
"31.5500","5.2485","10.5846"
"31.6000","5.2568","10.5770"
"31.6500","5.2652","10.5470"
"31.7000","5.2735","10.5455"
"31.7500","5.2819","10.5647"
"31.8000","5.2902","10.5198"
"31.8500","5.2985","10.4798"
"31.9000","5.3068","10.4490"
"31.9500","5.3151","10.3998"
"32.0000","5.3235","10.4058"
"32.0500","5.3319","10.4018"
"32.1000","5.3403","10.3893"
"32.1500","5.3486","10.3943"
"32.2000","5.3569","10.4196"
"32.2500","5.3651","10.4097"
"32.3000","5.3735","10.3972"
"32.3500","5.3819","10.3711"
"32.4000","5.3902","10.4098"
"32.4500","5.3986","10.3807"
"32.5000","5.4069","10.3516"
"32.5500","5.4152","10.3430"
"32.6000","5.4235","10.3259"
"32.6500","5.4318","10.3249"
"32.7000","5.4402","10.3288"
"32.7500","5.4486","10.2959"
"32.8000","5.4569","10.3019"
"32.8500","5.4652","10.2673"
"32.9000","5.4736","10.2794"
"32.9500","5.4818","10.2734"
"33.0000","5.4901","10.2768"
"33.0500","5.4985","10.2600"
"33.1000","5.5069","10.2639"
"33.1500","5.5152","10.2509"
"33.2000","5.5235","10.2564"
"33.2500","5.5319","10.2497"
"33.3000","5.5402","10.2161"
"33.3500","5.5485","10.2225"
"33.4000","5.5569","10.2096"
"33.4500","5.5652","10.2119"
"33.5000","5.5735","10.2278"
"33.5500","5.5819","10.2027"
"33.6000","5.5902","10.1953"
"33.6500","5.5986","10.1942"
"33.7000","5.6068","10.1866"
"33.7500","5.6151","10.1969"
"33.8000","5.6235","10.1801"
"33.8500","5.6319","10.1755"
"33.9000","5.6403","10.1747"
"33.9500","5.6486","10.1482"
"34.0000","5.6569","10.1494"
"34.0500","5.6651","10.1241"
"34.1000","5.6734","10.1289"
"34.1500","5.6819","10.1154"
"34.2000","5.6902","10.1008"
"34.2500","5.6985","10.1080"
"34.3000","5.7069","10.0866"
"34.3500","5.7152","10.0866"
"34.4000","5.7235","10.0917"
"34.4500","5.7318","10.0702"
"34.5000","5.7402","10.0656"
"34.5500","5.7486","10.0809"
"34.6000","5.7568","10.0591"
"34.6500","5.7652","10.0550"
"34.7000","5.7736","10.0452"
"34.7500","5.7819","10.0598"
"34.8000","5.7901","10.0510"
"34.8500","5.7985","10.0423"
"34.9000","5.8069","10.0604"
"34.9500","5.8152","10.0529"
"35.0000","5.8236","10.0723"
"35.0500","5.8319","10.0366"
"35.1000","5.8402","10.0466"
"35.1500","5.8484","10.0432"
"35.2000","5.8568","10.0376"
"35.2500","5.8652","10.0426"
"35.3000","5.8736","10.0574"
"35.3500","5.8819","10.0447"
"35.4000","5.8902","10.0270"
"35.4500","5.8985","10.0250"
"35.5000","5.9067","10.0329"
"35.5500","5.9151","10.0119"
"35.6000","5.9236","10.0200"
"35.6500","5.9319","10.0172"
"35.7000","5.9402","10.0086"
"35.7500","5.9486","10.0069"
"35.8000","5.9569","9.9853"
"35.8500","5.9651","9.9883"
"35.9000","5.9735","9.9610"
"35.9500","5.9818","9.9654"
"36.0000","5.9902","9.9347"
"36.0500","5.9986","9.9009"
"36.1000","6.0069","9.8702"
"36.1500","6.0152","9.8688"
"36.2000","6.0235","9.8762"
"36.2500","6.0318","9.8596"
"36.3000","6.0402","9.8479"
"36.3500","6.0486","9.8546"
"36.4000","6.0569","9.8319"
"36.4500","6.0653","9.8221"
"36.5000","6.0735","9.8322"
"36.5500","6.0819","9.8334"
"36.6000","6.0902","9.8151"
"36.6500","6.0985","9.8028"
"36.7000","6.1069","9.8458"
"36.7500","6.1152","9.8272"
"36.8000","6.1236","9.8297"
"36.8500","6.1319","9.8258"
"36.9000","6.1402","9.8059"
"36.9500","6.1484","9.7972"
"37.0000","6.1568","9.7911"
"37.0500","6.1652","9.8044"
"37.1000","6.1736","9.7919"
"37.1500","6.1819","9.7898"
"37.2000","6.1902","9.7965"
"37.2500","6.1986","9.8028"
"37.3000","6.2068","9.8120"
"37.3500","6.2151","9.7960"
"37.4000","6.2235","9.7868"
"37.4500","6.2318","9.8035"
"37.5000","6.2402","9.7983"
"37.5500","6.2486","9.8235"
"37.6000","6.2569","9.8108"
"37.6500","6.2652","9.8169"
"37.7000","6.2735","9.8385"
"37.7500","6.2818","9.8072"
"37.8000","6.2902","9.7983"
"37.8500","6.2985","9.8141"
"37.9000","6.3069","9.7909"
"37.9500","6.3152","9.7857"
"38.0000","6.3236","9.7495"
"38.0500","6.3318","9.7499"
"38.1000","6.3401","9.7122"
"38.1500","6.3485","9.7072"
"38.2000","6.3569","9.6621"
"38.2500","6.3653","9.6667"
"38.3000","6.3736","9.6254"
"38.3500","6.3819","9.5985"
"38.4000","6.3901","9.5655"
"38.4500","6.3985","9.5376"
"38.5000","6.4069","9.4985"
"38.5500","6.4152","9.4590"
"38.6000","6.4236","9.4347"
"38.6500","6.4319","9.4676"
"38.7000","6.4402","9.4510"
"38.7500","6.4485","9.4433"
"38.8000","6.4568","9.4505"
"38.8500","6.4652","9.4284"
"38.9000","6.4735","9.4036"
"38.9500","6.4819","9.4219"
"39.0000","6.4902","9.3917"
"39.0500","6.4986","9.3367"
"39.1000","6.5069","9.2851"
"39.1500","6.5151","9.2406"
"39.2000","6.5235","9.2059"
"39.2500","6.5319","9.2073"
"39.3000","6.5402","9.1980"
"39.3500","6.5486","9.1719"
"39.4000","6.5569","9.1392"
"39.4500","6.5652","9.1328"
"39.5000","6.5735","9.0683"
"39.5500","6.5818","8.9932"
"39.6000","6.5902","8.9817"
"39.6500","6.5986","8.9070"
"39.7000","6.6069","8.8196"
"39.7500","6.6152","8.8161"
"39.8000","6.6235","8.7759"
"39.8500","6.6318","8.7763"
"39.9000","6.6401","8.7743"
"39.9500","6.6485","8.7369"
"40.0000","6.6569","8.7578"
"40.0500","6.6653","8.7283"
"40.1000","6.6736","8.7388"
"40.1500","6.6819","8.7260"
"40.2000","6.6901","8.7231"
"40.2500","6.6985","8.7146"
"40.3000","6.7068","8.7026"
"40.3500","6.7152","8.6623"
"40.4000","6.7235","8.6605"
"40.4500","6.7319","8.6464"
"40.5000","6.7402","8.6096"
